code;name;categoryText;categoryText2;categoryText3;categoryText4;purchasePrice;includingVat;variantVisibility;
"380078-441_17";"BOYS SS TRAINING TOP 2/CONCORD";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Chlapecké;;;;"291,60";"1";"1";
"382554-062_14";"BACKCOURT SHORT/ANTHRACITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Chlapecké;;;;"210,60";"1";"1";
"386476-005_81";"ZOOM BREATHE 2K10-BLACK";Tenisová obuv > Pánská tenisová obuv;Výprodej!!! > Výprodej obuvi;;;"1398,60";"1";"1";
"386480-500_189";"WMNS ZOOM BREATHE 2K10-BRIGHT VIOLET";Tenisová obuv > Dámská tenisová obuv;;;;"1398,60";"1";"1";
"386480-500_227";"WMNS ZOOM BREATHE 2K10-BRIGHT VIOLET";Tenisová obuv > Dámská tenisová obuv;;;;"1398,60";"1";"1";
"398224-010";"RAFA BULL LOGO CAP-BLACK";Pro's Equipment > Rafael Nadal;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"368,90";"1";"1";
"398224-060";"RAFA BULL LOGO CAP-ANTHRACITE";Pro's Equipment > Rafael Nadal;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"398224-104";"RAFA BULL LOGO CAP/WHITE";Pro's Equipment > Rafael Nadal;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"398224-406";"RAFA BULL LOGO CAP/PHOTO BLUE";Pro's Equipment > Rafael Nadal;Doplòky;Tenisové obleèení > Tenisové obleèení Nike - doplòky > Kšilty, Èepice;;"372,60";"1";"1";
"403580-100_14";"BACK HAND BORDER SKIRT/WHITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Dívèí;;;;"286,70";"1";"1";
"403580-100_15";"BACK HAND BORDER SKIRT/WHITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Dívèí;;;;"286,70";"1";"1";
"403580-100_16";"BACK HAND BORDER SKIRT/WHITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Dívèí;;;;"286,70";"1";"1";
"403580-100_17";"BACK HAND BORDER SKIRT/WHITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské > Dívèí;;;;"286,70";"1";"1";
"403581-100_14";"BACK HAND BORDER POLO/WHITE";Výprodej!!! > Obleèení a doplòky;Tenisové obleèení > Tenisové obleèení Nike - dìtské > Dívèí;;;"291,60";"1";"1";
"404128-100_14";"OUT TRAIN THE GAME TEE/WHITE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"372,60";"1";"1";
"404128-100_17";"OUT TRAIN THE GAME TEE/WHITE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"372,60";"1";"1";
"404128-475_14";"OUT TRAIN THE GAME TEE/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"372,60";"1";"1";
"404128-475_15";"OUT TRAIN THE GAME TEE/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"372,60";"1";"1";
"404128-475_16";"OUT TRAIN THE GAME TEE/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"372,60";"1";"1";
"404370-100_17";"WOVEN CORE SHORT/WHITE";Tenisové obleèení > Tenisové obleèení Nike - dìtské;;;;"291,60";"1";"1";
"404512-493_17";"CLASSIC FLEECE FZ HOODY-VARSITY ROYAL";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;;"750,60";"1";"1";
"404515-473_17";"CLASSIC POLYWARP WARMUP - DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;;;;"858,60";"1";"1";
"404673-100_14";"RF TROPHY RTE. 70 POLO/WHITE";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;"858,60";"1";"1";
"404673-703";"RF TROPHY RTE. 70 POLO/VARSITY MAIZE";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;"858,60";"1";"0";
"404674-020";"TROPHY WOVEN SHORT/GREY SAGE";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;;;"642,60";"1";"0";
"404674-100_15";"TROPHY WOVEN SHORT/WHITE";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"642,60";"1";"1";
"404674-100_17";"TROPHY WOVEN SHORT/WHITE";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"642,60";"1";"1";
"404675-052_14";"RF TROPHY JACKET/GRIDIRON";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské;;;"1398,60";"1";"1";
"404675-052_16";"RF TROPHY JACKET/GRIDIRON";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské;;;"1398,60";"1";"1";
"404675-052_17";"RF TROPHY JACKET/GRIDIRON";Pro's Equipment > Roger Federer;Tenisové obleèení > Tenisové obleèení Nike - pánské;;;"1398,60";"1";"1";
"404677-003_17";"ACE  WOVEN SHORT/SOFT GREY";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"750,60";"1";"1";
"404677-052";"ACE WOVEN SHORT/GRIDIRON";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;;;"750,60";"1";"0";
"404677-101_14";"ACE WOVEN SHORT/WHITE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;;;"642,60";"1";"1";
"404677-101_15";"ACE WOVEN SHORT/WHITE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;;;"642,60";"1";"1";
"404677-451_14";"ACE WOVEN SHORT/OBSIDIAN";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"642,60";"1";"1";
